Method,MoM_1,MoM_2,Storm_Ingestion_Activity,Web_1,Web_2,Antivirus_1,Antivirus_2,SWaT,Flood,Bavaira,East_germany
VAR,0.001561,0.0,0.0,0.015126,0.015638,0.006032,0.002006,0.08796,0.051269,5.324162,9.486754
mvgc,0.090549,0.100008,0.079177,0.367375,0.311805,0.59225,1.089904,135.575822,129.365949,TLE,TLE
cLSTM,22.897792,25.684052,34.634989,67.289021,65.577388,52.093026,44.383619,1262.408078,227.32135,TLE,TLE
cMLP,5.586093,5.64077,7.257337,29.617973,30.50741,13.394821,13.081571,209.287353,135.37469,TLE,TLE
cRNN,17.165763,17.412668,21.860171,62.714125,62.003952,47.573572,47.898905,1144.848915,160.224796,TLE,TLE
TCDF,15.690225,15.776419,9.543259,37.779491,55.3217,15.566985,30.620816,799.450458,188.610775,TLE,TLE
pcmci,0.250057,0.293413,3.232933,40.194097,31.030198,23.617046,38.671279,TLE,TLE,TLE,TLE
tsFCI,26.378508,14.421098,1.04822,100.714722,332.604742,245.800036,620.111445,TLE,TLE,TLE,TLE
pcgce,0.139998,0.432749,0.858408,20.652304,4.460495,18.210155,7.866918,777.464821,74.999861,TLE,TLE
Dynotears,2.19495,1.700573,0.031402,15.648889,37.256443,10.595328,161.463547,740.439096,259.32918,TLE,TLE
VARLiNGAM,0.088688,0.12205,0.128236,2.18911,2.200617,0.43726,0.750127,409.372854,15.015684,TLE,TLE
TiMiNo,1.76092,1.80869,2.759454,17.629602,21.77429,6.887935,6.532011,1654.827907,79.977694,TLE,TLE
our_method,9.679473,8.174392,8.179506,11.88074,14.796872,8.146391,10.064924,23.523201,23.290261,716.421276,1213.147315
