Method,MoM_1,MoM_2,Storm_Ingestion_Activity,Web_1,Web_2,Antivirus_1,Antivirus_2,SWaT,Flood,Bavaira,East_germany
VAR,0.015705,0.031479,0.03166,0.063196,0.062955,0.063038,0.071496,0.793211,0.596202,82.6903,151.382673
mvgc,0.301172,0.361582,0.236101,1.997876,3.476563,10.347349,10.750376,3632.962034,4842.76188,TLE,TLE
cLSTM,32.094595,39.310134,61.590721,199.444878,221.082657,131.266792,125.936584,TLE,727.860817,TLE,TLE
cMLP,12.45,12.579849,14.549296,43.482025,54.026819,35.84973,35.799493,836.620999,277.241474,TLE,TLE
cRNN,22.154415,24.263518,34.211175,216.558235,212.543598,107.782399,117.739846,6933.721965,1612.635687,TLE,TLE
TCDF,8.686697,9.024406,9.935157,58.359759,58.553243,16.645228,17.808844,550.148559,258.029029,TLE,TLE
pcmci,0.511127,0.892962,4.495683,145.981614,61.363954,34.094826,38.511189,TLE,TLE,TLE,TLE
tsFCI,1252.31172,1232.838773,2.699478,4649.727382,TLE,TLE,TLE,TLE,TLE,TLE,TLE
pcgce,0.330932,0.680679,1.476803,10.095375,5.618186,16.413228,8.782273,725.866751,86.291249,TLE,TLE
Dynotears,8.362772,4.924038,0.393906,64.05877,403.92464,85.209404,490.66461,4641.98612,795.533515,TLE,TLE
VARLiNGAM,0.350456,0.382404,0.686793,9.230236,9.59619,2.217984,2.138446,5077.793684,54.868701,TLE,TLE
TiMiNo,1.340658,1.987102,2.508934,16.6796,12.769419,8.226622,6.215753,770.675587,91.033607,TLE,TLE
our_method,7.249432,5.621799,6.989496,9.966499,13.991682,7.538305,8.555719,64.290164,20.502964,1915.200344,3240.050207
