Method,MoM_1,MoM_2,Storm_Ingestion_Activity,Web_1,Web_2,Antivirus_1,Antivirus_2,SWaT,Flood,Bavaira,East_germany
VAR,0.0,0.0,0.0,0.01569,0.015753,0.015733,0.015831,0.173117,0.103568,12.084945,19.686575
mvgc,0.110859,0.173513,0.111104,1.407325,1.520607,4.074973,4.103033,1064.924112,816.71982,TLE,TLE
cLSTM,20.117112,24.235493,41.85625,94.960352,92.774791,72.172373,73.228503,4346.775779,367.78188,TLE,TLE
cMLP,6.736853,6.907388,9.078947,30.455658,36.890032,19.810077,21.347962,261.130535,138.309815,TLE,TLE
cRNN,16.555342,19.888628,27.819251,83.520478,73.927493,49.950762,50.872494,1845.214622,274.406325,TLE,TLE
TCDF,14.867985,15.057497,19.849856,117.870991,103.716279,30.671676,31.472871,726.041097,268.255689,TLE,TLE
pcmci,0.190832,0.36713,6.318754,187.465542,78.933902,87.510217,65.556597,TLE,TLE,TLE,TLE
tsFCI,29.777394,19.361472,0.937228,131.07253,203.347101,368.481921,786.594496,TLE,TLE,TLE,TLE
pcgce,0.180224,0.539737,0.905697,13.651465,4.652153,22.433418,9.720177,871.407263,75.216309,TLE,TLE
Dynotears,10.773844,2.903548,0.063706,56.42214,57.534629,15.330571,364.57306,1897.800344,313.745976,TLE,TLE
VARLiNGAM,0.093217,0.127648,0.206857,4.749149,4.575203,1.059835,1.07286,1208.178772,29.356509,TLE,TLE
TiMiNo,1.312835,1.763577,2.121366,13.829902,17.299366,7.070068,7.085697,1051.044472,79.852178,TLE,TLE
our_method,8.317974,7.466572,8.338442,12.749334,15.86843,6.545096,8.068263,25.056633,26.893042,929.513002,1461.594825
